Origin_Region,Destination_Region,flow2000,flow2005,flow2010,flow2015,flow2019,increase_rate_2000_2005,increase_rate_2005_2010,increase_rate_2010_2015,increase_rate_2015_2019
Eastern Africa,Caribbean,880.0,935.0,995.0,1032.0,1047.0,6.25,6.417112299465241,3.7185929648241203,1.4534883720930232
Eastern Africa,Central America,123.0,167.0,209.0,219.0,225.0,35.77235772357724,25.149700598802394,4.784688995215311,2.73972602739726
Eastern Africa,Central Asia,27.0,25.0,24.0,23.0,22.0,-7.4074074074074066,-4.0,-4.166666666666666,-4.3478260869565215
Eastern Africa,Eastern Africa,3122941.0,2931326.0,3091683.0,4237722.0,5330243.0,-6.135722704975855,5.470459443951304,37.06845106694315,25.78085584660815
Eastern Africa,Eastern Asia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eastern Africa,Eastern Europe,3499.0,3833.0,8485.0,8665.0,56535.0,9.545584452700771,121.36707539786069,2.121390689451974,552.4523946912867
Eastern Africa,Melanesia,28.0,34.0,28.0,28.0,28.0,21.428571428571427,-17.647058823529413,0.0,0.0
Eastern Africa,Micronesia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eastern Africa,Middle Africa,278904.0,214861.0,186863.0,361418.0,440310.0,-22.962381321171442,-13.030750112863664,93.41335630916768,21.82846454797492
Eastern Africa,Northern Africa,723706.0,460263.0,569103.0,626296.0,1217906.0,-36.401936698051415,23.647349450205642,10.049674663461623,94.46172416876365
Eastern Africa,Northern America,321325.0,487572.0,673305.0,846463.0,912472.0,51.737960009336334,38.09345081341833,25.71761683041118,7.798214452374173
Eastern Africa,Northern Europe,456553.0,558397.0,732629.0,919480.0,1079176.0,22.30715820507148,31.202173364111914,25.5041774213142,17.368077609083397
Eastern Africa,Polynesia,52.0,58.0,31.0,8.0,7.0,11.538461538461538,-46.55172413793103,-74.19354838709677,-12.5
Eastern Africa,South America,2136.0,2240.0,2668.0,3189.0,3628.0,4.868913857677903,19.107142857142854,19.527736131934034,13.76607086861085
Eastern Africa,South Eastern Asia,528.0,880.0,1208.0,1701.0,1775.0,66.66666666666666,37.27272727272727,40.811258278145694,4.350382128159906
Eastern Africa,Southern Africa,508352.0,681726.0,1036000.0,1377298.0,1537903.0,34.10510827143396,51.96721263381476,32.943822393822394,11.660875133776424
Eastern Africa,Southern Asia,4982.0,4612.0,4246.0,4088.0,4019.0,-7.426736250501806,-7.935819601040764,-3.7211493170042393,-1.687866927592955
Eastern Africa,Southern Europe,124826.0,144627.0,163758.0,169443.0,174606.0,15.862881130533705,13.227820531436038,3.4715861209834027,3.0470423682300245
Eastern Africa,Western Africa,2212.0,2254.0,3011.0,6389.0,6524.0,1.89873417721519,33.58473824312333,112.18864164729325,2.113006730317734
